grupo_thesys	Descricao_MBM	ativo	diario_auxiliar	lancto_contabil	antecipacao	origem	cod_tipodocto
OPERAÇÕES BANCÁRIAS	TÍTULO DE CAPITALIZAÇÃO	S	S	S	N		CAP
RECIBOS	DESP C/ CONDUÇÕES E TRANSPORTE	S	S	S	N		D33
EMPRESTIMOS	EMPRESTIMO BANCO VOTORANTIM	S	S	S	N		E16
EMPRESTIMOS	JUROS S/ EMP. BANC. VOTORANTIM	S	S	S	N		J10
CONTRATOS	DESPESA C/ SEGURANÇA PATRIM.	S	S	S	N		D34
IMPOSTOS E TAXAS	M.S.A. PARCEL.	S	S	S	N		MSA
RECIBOS	RECEB ANTECIP	S	S	S	S		RA 
RECIBOS	RECEB ANTECIP	S	S	S	S		RA 
RECIBOS	RECEB ANTECIP	S	S	S	N		RA 
SERVICOS	SERVIÇOS PJ - ADM	S	S	S	N		S98
SERVICOS	SERVIÇOS PJ - VENDAS	S	S	S	N		S99
IMPOSTOS E TAXAS	PEDAGIOS DE CAMINHOES	S	S	S	N		D36
JUROS E MULTAS	JUROS PASSIVOS	S	S	S	N		JPA
RECIBOS	RECEB ANTECIP	S	S	S	N		RA 
RECIBOS	RECEB ANTECIP	S	S	S	N		RA 
RECIBOS	RECIBO	S	S	S	N		REC
RECIBOS	RECIBO	S	S	S	N		REC
RECIBOS	RECIBO	S	S	S	N		REC
IMPOSTOS E TAXAS	GFD (FGTS RESCISÓRIO)	S	S	S	N		S15
RECIBOS	RECIBO	S	S	S	N		REC
RECIBOS	RECIBO	S	S	S	N		REC
CONTRATOS	REEMB DESP LANCHES E REFEIÇÕES	S	S	S	N		D23
CONTRATOS	REEMB. CONTA DE AGUA	S	S	S	N		R03
LOGÍSTICA	IPVA	S	S	S	N		D27
LOGÍSTICA	LICENCIAMENTO/DPVAT	S	S	S	N		D28
CONTRATOS	REEMB. DESP FEIRAS E EVENTOS	S	S	S	N		D22
CONTRATOS	REEMB. SINISTRO MERC. VENDIDA	S	S	S	N		R05
ANTECIPAÇÕES 	ANTECIPAÇÃO SEM MOV.CONTA	S	S	N	N		ANE
OPERAÇÕES BANCÁRIAS	TÍTULO DE CAPITALIZAÇÃO	S	S	S	N		CAP
OPERAÇÕES BANCÁRIAS	CONSÓRCIO	S	S	S	N		CON
OPERAÇÕES BANCÁRIAS	CRÉDITO RJ	S	S	S	N		CRJ
RECIBOS	DESP C/ CONDUÇÕES E TRANSPORTE	S	S	S	N		D29
CONTRATOS	REEMBOLSO DESP C/ IMPORTAÇÃO	S	S	S	N		D28
ANTECIPAÇÕES	ADTO A SÓCIOS	S	S	S	N		AN6
CONTRATOS	REEMBOLSO DESP ESTAC.	S	S	S	N		D12
MEIOS DE PAGAMENTO	CHEQUES	S	S	S	N		CHQ
CONTRATOS	REEMBOLSO DESP ESTAC.	S	S	S	N		D11
CONTRATOS	REEMBOLSO DESP ESTAC.	S	S	S	N		D12
CONTRATOS	REEMBOLSO DESP ESTAC.	S	S	S	N		D11
CONTRATOS	REEMBOLSO DESP ESTAC.	S	S	S	N		D11
LOGÍSTICA	CONHECIMENTO DE TRANSPORTE	S	S	S	N		CTE
CONTAS A RECEBER	BOLETO	S	S	S	N		BOL
CONTRATOS	REEMBOLSO DESP VIAGEM	S	S	S	N		D11
CONTRATOS	REEMBOLSO DESP VIAGEM	S	S	S	N		D11
CONTRATOS	DESPESA C/ TELEFONIA	S	S	S	N		D02
CONTRATOS	DESPESA C/ ENERGIA	S	S	S	N		D03
CONTRATOS	REEMBOLSO ENERGIA FABRICA	S	S	S	N		R01
CONTRATOS	REEMBOLSO MATERIAL EXPEDIENTE	S	S	S	N		D31
CONTRATOS	REEMBOLSO VIAGENS E ESTADIAS	S	S	S	N		D13
CUSTO DE FÁBRICA	DESPESA C/ LOC. EMPILHADEIRA	S	S	S	N		D07
CONTRATOS	DESPESA C/ INTERNET	S	S	S	N		D10
CONTRATOS	REEMBOLSO VIAGENS E ESTADIAS	S	S	S	N		D13
JURÍDICO	DESPESA JURIDICA	S	S	S	N		D12
CONTRATOS	REEMBOLSO VIAGENS E ESTADIAS	S	S	S	N		D13
OUTROS	RESSARCIMENTO CMV	S	S	S	N		R04
RH	SALARIOS - PJ (PREVISAO)	S	S	N	N		TEP
SERVICOS	SERVIÇOS PJ - COMISSÕES	S	S	S	N		S96
LOGÍSTICA	MULTA DE TRANSITO	S	S	S	N		D17
SERVICOS	SERVIÇOS PJ - COMISSÕES	S	S	S	N		S96
OPERAÇÕES BANCÁRIAS	SEGURO PRESTAMISTA	S	S	S	N		D24
SERVICOS	SERVIÇOS PJ - COMISSÕES	S	S	S	N		S96
SEGUROS	SEGURO DE CARGA	S	S	S	N		D26
CONTRATOS	DEPOSITO CC	S	S	S	N		DCC
SERVICOS	SERVIÇOS PJ - COMISSÕES	S	S	S	N		S96
SERVICOS	SERVIÇOS PJ - PRODUÇÃO	S	S	S	N		S97
SERVICOS	SERVIÇOS PJ - PRODUÇÃO	S	S	S	N		S97
SERVICOS	SERVIÇOS PJ - PRODUÇÃO	S	S	S	N		S97
SERVICOS	SERVIÇOS PJ - PRODUÇÃO	S	S	S	N		S97
SERVICOS	SERVIÇOS PJ - PRODUÇÃO	S	S	S	N		S97
RH	ESPECIAL	S	N	N	N		ESP
IMPOSTOS E TAXAS	TARIFAS ESTADUAIS	S	S	S	N		D05
IMPOSTOS E TAXAS	IPI	S	S	S	N		I02
IMPOSTOS E TAXAS	PIS	S	S	S	N		I03
IMPOSTOS E TAXAS	COFINS	S	S	S	N		I04
IMPOSTOS E TAXAS	IRRF S/ NF	S	S	S	N		I05
IMPOSTOS E TAXAS	CSRF S/ NF	S	S	S	N		I06
IMPOSTOS E TAXAS	ISS S/ NF	S	S	S	N		I07
IMPOSTOS E TAXAS	INSS S/ NF	S	S	S	N		I08
IMPOSTOS E TAXAS	IRPJ	S	S	S	N		I09
IMPOSTOS E TAXAS	CSLL	S	S	S	N		I10
IMPOSTOS E TAXAS	PARCELAMENTO ICMS	S	S	S	N		I11
IMPOSTOS E TAXAS	IRRF S/ ALUGUEL 3208	S	S	S	N		I12
IMPOSTOS E TAXAS	IRPJ PARCELADO	S	S	S	N		I13
IMPOSTOS E TAXAS	CSLL PARCELADO	S	S	S	N		I14
IMPOSTOS E TAXAS	TARIFAS ESTADUAIS	S	S	S	N		D05
EMPRESTIMOS	JUROS S/ EMP. BANC. DAYCOVAL	S	S	S	N		JBD
EMPRESTIMOS	JUROS S/ EMPRESTIMO BANCARIO	S	S	S	N		JEB
JUROS E MULTAS	JUROS S/ EMP. INTERCOMPANY	S	S	S	N		JEI
IMPOSTOS E TAXAS	TARIFAS FEDERAIS	S	S	S	N		D06
JUROS E MULTAS	JUROS S/ IMPOSTOS	S	S	S	N		JIP
JUROS E MULTAS	JUROS S/ NF	S	S	S	N		JSN
NF	NOTA FISCAL	S	S	S	N		NF 
NF	DEVOLUÇÃO VENDA	S	S	S	N		NFD
IMPOSTOS E TAXAS	TARIFAS FEDERAIS	S	S	S	N		D06
IMPOSTOS E TAXAS	TARIFAS MUNICIPAIS	S	S	S	N		D04
IMPOSTOS E TAXAS	TARIFAS MUNICIPAIS	S	S	S	N		D04
CONTAS A RECEBER	SALARIO LIQUIDO	S	S	S	N		S01
RH	ADTO SALARIO	S	S	S	N		S02
RH	FÉRIAS	S	S	S	N		S03
ADTO FÉRIAS	ADTO FÉRIAS	S	S	S	N		S04
RH	13º	S	S	S	N		S05
RH	ADTO 13º	S	S	S	N		S06
IMPOSTOS E TAXAS	INSS S/ FOPAG	S	S	S	N		S08
IMPOSTOS E TAXAS	IRRF S/ FOPAG	S	S	S	N		S09
RH	PENSÃO ALIMENTICIA	S	S	S	N		S10
RH	PLR	S	S	S	N		S11
RH	PRO-LABORE	S	S	S	N		S12
SEGUROS	SEGURO DE VIDA CORPORATIVO	S	S	S	N		S13
RH	RESCISÃO	S	S	S	N		S14
TRANSFERENCIA	TRANSF. ENTRE CONTAS	S	S	S	N		TRF
TRANSFERENCIA	TRANSF. ENTRE CONTAS	S	S	S	N		TTS
ANTECIPAÇÕES	PGTO ANTECIP	S	S	S	N		PA 
IMPOSTOS E TAXAS	GFD (FGTS MENSAL)	S	S	S	N		S07
OUTROS	USO PARA TESTE	S	N	N	N		000
JUROS E MULTAS	JUROS PASSIVOS	S	S	S	N		JPA
OUTROS	USO SOFTWARE	S	S	S	N		D25
RH	VALE TRANSPORTE (ADM)	S	S	S	N		S21
RH	VALE TRANSPORTE (FABRICA)	S	S	S	N		S20
SERVICOS	SERVIÇOS PJ - ADM	S	S	S	N		S98
SERVICOS	SERVIÇOS PJ - VENDAS	S	S	S	N		S99
IMPOSTOS E TAXAS	GFD (FGTS RESCISÓRIO)	S	S	S	N		S15
RH	VALE TRANSPORTE FAB 	S	S	S	N		D40
